Project,File,Key,Comment,,Comment.en-US,.en-US
3DLaserGlueInspection_WPF,Resources\LanguageDict,LanguageSwitchSuccessful,,语言切换成功。,,Language switch successful.
3DLaserGlueInspection_WPF,Resources\LanguageDict,Prompt,,提示,,Prompt
3DLaserGlueInspection_WPF,Resources\LanguageDict,Find,,找到,,Find 
3DLaserGlueInspection_WPF,Resources\LanguageDict,Cam,,个相机,, Cam
3DLaserGlueInspection_WPF,Resources\LanguageDict,CameraSuccessfullyOpened,,相机打开成功,,Camera successfully opened
3DLaserGlueInspection_WPF,Resources\LanguageDict,CameraInitializationFailed,,相机初始化失败,,Camera initialization failed
3DLaserGlueInspection_WPF,Resources\LanguageDict,AutomaticExposureAcquisitionTime,,自动曝光采集时间,,Automatic exposure acquisition time
3DLaserGlueInspection_WPF,Resources\LanguageDict,RegionalGrayscaleMean,,区域灰度均值,,Regional grayscale mean
3DLaserGlueInspection_WPF,Resources\LanguageDict,SingleFrameAcquisitionTime,,单帧采集时间,,Single frame acquisition time
3DLaserGlueInspection_WPF,Resources\LanguageDict,ContinuousCollectionBegins,,连续采集开始,,Continuous collection begins
3DLaserGlueInspection_WPF,Resources\LanguageDict,CameraAcquisitionStoppedAcquisitionTime,,"相机采集停止,采集时间：",,"Camera acquisition stopped, acquisition time:"
3DLaserGlueInspection_WPF,Resources\LanguageDict,CameraClose,,相机关闭,,Camera close
3DLaserGlueInspection_WPF,Resources\LanguageDict,ExposureTime,,曝光时间,,exposure  time
3DLaserGlueInspection_WPF,Resources\LanguageDict,ExposureTimeAcquisitionFailed,,曝光时间获取失败:,,Exposure time acquisition failed
3DLaserGlueInspection_WPF,Resources\LanguageDict,SetExposure,,设置曝光：,,Set Exposure:
3DLaserGlueInspection_WPF,Resources\LanguageDict,ExposureSettingFailed,,曝光设置失败:,,Exposure setting failed:
3DLaserGlueInspection_WPF,Resources\LanguageDict,EnableHorizontalMirroring,,设置水平镜像使能：,,Enable horizontal mirroring:
3DLaserGlueInspection_WPF,Resources\LanguageDict,SetEnableHorizontalMirroringFail,,水平镜像使能设置失败:,,Set Enable horizontal mirroring fail:
3DLaserGlueInspection_WPF,Resources\LanguageDict,EnableVerticalMirroring,,设置垂直镜像使能：,,Enable vertical mirroring:
3DLaserGlueInspection_WPF,Resources\LanguageDict,SetEnableVerticalMirroringFail,,垂直镜像使能设置失败:,,Set Enable vertical mirroring fail:
3DLaserGlueInspection_WPF,Resources\LanguageDict,ImageWidth,,图像宽度：,,Image width:
3DLaserGlueInspection_WPF,Resources\LanguageDict,GetImageWidthFailed,,图像宽度获取失败:,,Get Image width failed:
3DLaserGlueInspection_WPF,Resources\LanguageDict,ImageHeight,,图像高度：,,Image height:
3DLaserGlueInspection_WPF,Resources\LanguageDict,GetImageHeightFailed,,图像高度获取失败:,,Get Image height failed:
3DLaserGlueInspection_WPF,Resources\LanguageDict,SetImageWidth,,设置图像宽度：,,Set Image width:
3DLaserGlueInspection_WPF,Resources\LanguageDict,SetImageWidthFail,,图像宽度设置失败:,,Set Image width fail:
3DLaserGlueInspection_WPF,Resources\LanguageDict,SetImageHeight,,设置图像高度：,,Set Image height:
3DLaserGlueInspection_WPF,Resources\LanguageDict,SetImageHeightFail,,图像高度设置失败:,,Set Image height fail:
3DLaserGlueInspection_WPF,Resources\LanguageDict,MaximumWidthOfImage,,图像最大宽度：,,Maximum width of image:
3DLaserGlueInspection_WPF,Resources\LanguageDict,GetMaximumWidthOfImage,,图像最大宽度获取失败:,,Get Maximum width of image:
3DLaserGlueInspection_WPF,Resources\LanguageDict,MaximumHeightOfImage,,图像最大高度：,,Maximum height of image:
3DLaserGlueInspection_WPF,Resources\LanguageDict,GetMaximumHeightOfImage,,图像最大高度获取失败:,,Get Maximum height of image:
3DLaserGlueInspection_WPF,Resources\LanguageDict,HorizontalOffsetParameterValue,,水平偏移参数值：,,Horizontal offset parameter value:
3DLaserGlueInspection_WPF,Resources\LanguageDict,GetHorizontalOffsetParameterValueFail,,水平偏移获取失败:,,Get Horizontal offset parameter value fail:
3DLaserGlueInspection_WPF,Resources\LanguageDict,VerticalOffsetParameterValue,,垂直偏移参数值：,,Vertical offset parameter value:
3DLaserGlueInspection_WPF,Resources\LanguageDict,GetVerticalOffsetParameterValue,,垂直偏移获取失败:,,Get Vertical offset parameter value:
3DLaserGlueInspection_WPF,Resources\LanguageDict,CameraValue,,，相机值：,,",Camera value:"
3DLaserGlueInspection_WPF,Resources\LanguageDict,SetTheHorizontalOffsetParameterValue,,设置水平偏移参数值：,,Set the horizontal offset parameter value:
3DLaserGlueInspection_WPF,Resources\LanguageDict,HorizontalOffsetSettingFailed,,水平偏移设置失败:,,Horizontal offset setting failed:
3DLaserGlueInspection_WPF,Resources\LanguageDict,SetTheVerticalOffsetParameterValue,,设置垂直偏移参数值：,,Set the vertical offset parameter value:
3DLaserGlueInspection_WPF,Resources\LanguageDict,VerticalOffsetSettingFailed,,垂直偏移设置失败:,,Vertical offset setting failed:
3DLaserGlueInspection_WPF,Resources\LanguageDict,EnableFrameRateSetting,,设置帧率使能：,,Enable frame rate setting:
3DLaserGlueInspection_WPF,Resources\LanguageDict,FrameRateEnableSettingFailed,,帧率使能设置失败:,,Frame rate enable setting failed:
3DLaserGlueInspection_WPF,Resources\LanguageDict,SetFrameRate,,设置的帧率：,,Set frame rate:
3DLaserGlueInspection_WPF,Resources\LanguageDict,FailedToRetrieveTheSetFrameRate,,设置的帧率获取失败:,,Failed to retrieve the set frame rate:
3DLaserGlueInspection_WPF,Resources\LanguageDict,ActualFrameRate,,实际帧率：,,Actual frame rate:
3DLaserGlueInspection_WPF,Resources\LanguageDict,ActualFrameRateAcquisitionFailed,,实际帧率获取失败:,,Actual frame rate acquisition failed:
3DLaserGlueInspection_WPF,Resources\LanguageDict,SetFrameRate,,设置帧率：,,Set frame rate:
3DLaserGlueInspection_WPF,Resources\LanguageDict,FrameRateSettingFailed,,帧率设置失败:,,Frame rate setting failed:
3DLaserGlueInspection_WPF,Resources\LanguageDict,SelectTheLocationToSave,,选择要保存的位置,,Select the location to save
3DLaserGlueInspection_WPF,Resources\LanguageDict,ImageSavedSuccessfully,,图片保存成功,,Image saved successfully
3DLaserGlueInspection_WPF,Resources\LanguageDict,ParameterLoadingFailed,,参数加载失败：,,Parameter loading failed:
3DLaserGlueInspection_WPF,Resources\LanguageDict,DoYouWantToSaveTheParameters,,是否保存参数？,,Do you want to save the parameters?
3DLaserGlueInspection_WPF,Resources\LanguageDict,SaveFailed,,保存失败：,,Save failed:
3DLaserGlueInspection_WPF,Resources\LanguageDict,TurnOffTheCamera,,关闭相机,,Turn off the camera
3DLaserGlueInspection_WPF,Resources\LanguageDict,ParameterSavedSuccessfully,,参数保存成功,,Parameter saved successfully
3DLaserGlueInspection_WPF,Resources\LanguageDict,ParameterSaveFailed,,参数保存失败,,Parameter save failed
3DLaserGlueInspection_WPF,Resources\LanguageDict,FailedToOpenSettings,,打开设置失败:,,Failed to open settings:
3DLaserGlueInspection_WPF,Resources\LanguageDict,FailedToCloseSettings,,关闭设置失败:,,Failed to close settings:
3DLaserGlueInspection_WPF,Resources\LanguageDict,TheProductNameCannotBeEmpty,,产品名称不能为空！,,The product name cannot be empty!
3DLaserGlueInspection_WPF,Resources\LanguageDict,TheProductNameCannotContainCharacters,,产品名称不能包含字符,,The product name cannot contain characters
3DLaserGlueInspection_WPF,Resources\LanguageDict,ProductIdCannotBeEmpty,,产品ID不能为空！,,Product ID cannot be empty!
3DLaserGlueInspection_WPF,Resources\LanguageDict,TheProductIdFormatIsIncorrect,,产品ID格式不正确！,,The product ID format is incorrect!
3DLaserGlueInspection_WPF,Resources\LanguageDict,TheProductNameAlreadyExistsAndCannotBeAddedAgain,,产品名称已存在，不能重复添加！,,The product name already exists and cannot be added again!
3DLaserGlueInspection_WPF,Resources\LanguageDict,ProductId,,产品ID,,Product ID
3DLaserGlueInspection_WPF,Resources\LanguageDict,AlreadyExistsCannotBeAddedAgain,,已存在，不能重复添加！,,"Already exists, cannot be added again!"
3DLaserGlueInspection_WPF,Resources\LanguageDict,NoModificationSelected,,未选择修改项！,,No modification selected!
3DLaserGlueInspection_WPF,Resources\LanguageDict,NoDeletionOptionSelected,,未选择删除项！,,No deletion option selected!
3DLaserGlueInspection_WPF,Resources\LanguageDict,FileFormatException,,文件格式异常,,File format exception
